ID.Source;Name.Source;ID.Target;Name.Target;Linie;Color;City;Type;Service;Direktionalität;Scope;Scope_connects_to;last_checked
H0001;Wettbergen;H0002;Tresckowstr.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0002;Tresckowstr.;H0003;Mühlenberger Markt;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0003;Mühlenberger Markt;H0004;Am Sauerwinkel;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0004;Am Sauerwinkel;H0005;Bartold-Knaust-Str.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0005;Bartold-Knaust-Str.;H0006;Wallensteinstr.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0001;Wettbergen;H0002;Tresckowstr.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0002;Tresckowstr.;H0003;Mühlenberger Markt;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0003;Mühlenberger Markt;H0004;Am Sauerwinkel;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0004;Am Sauerwinkel;H0005;Bartold-Knaust-Str.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0005;Bartold-Knaust-Str.;H0006;Wallensteinstr.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0006;Wallensteinstr.;H0007;Beekestr.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0007;Beekestr.;H0008;Schünemannplatz;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0008;Schünemannplatz;H0009;Bf. Linden / Fischerhof;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0009;Bf. Linden / Fischerhof;H0010;Stadionbrücke;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0010;Stadionbrücke;H0011;Allerweg;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0006;Wallensteinstr.;H0007;Beekestr.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0007;Beekestr.;H0008;Schünemannplatz;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0008;Schünemannplatz;H0009;Bf. Linden / Fischerhof;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0009;Bf. Linden / Fischerhof;H0010;Stadionbrücke;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0010;Stadionbrücke;H0011;Allerweg;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0006;Wallensteinstr.;H0007;Beekestr.;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0007;Beekestr.;H0008;Schünemannplatz;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0008;Schünemannplatz;H0009;Bf. Linden / Fischerhof;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0009;Bf. Linden / Fischerhof;H0010;Stadionbrücke;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0010;Stadionbrücke;H0011;Allerweg;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0011;Allerweg;H0012;Waterloo;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0011;Allerweg;H0012;Waterloo;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0011;Allerweg;H0013;Schwarzer Bär;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0014;Empelde;H0015;Hermann-Ehlers-Alle;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0015;Hermann-Ehlers-Alle;H0016;Safariweg;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0016;Safariweg;H0017;Eichenfeldstr.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0017;Eichenfeldstr.;H0018;Am Soltekamp;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0018;Am Soltekamp;H0019;Körtingsdorfer Weg;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0019;Körtingsdorfer Weg;H0020;Bauweg;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0020;Bauweg;H0021;Am Lindener Hafen;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0021;Am Lindener Hafen;H0022;Bernhard-Caspar-Str.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0022;Bernhard-Caspar-Str.;H0023;Nieschlagstr.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0023;Nieschlagstr.;H0024;Lindener Marktplatz;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0024;Lindener Marktplatz;H0013;Schwarzer Bär;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0013;Schwarzer Bär;H0012;Waterloo;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0013;Schwarzer Bär;H0025;Humboldtstr.;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0026;Ahlem;H0027;Ehrhardtstr. (Gedenkstätte Ahlem);10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0027;Ehrhardtstr. (Gedenkstätte Ahlem);H0028;Brunnenstr.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0028;Brunnenstr.;H0029;Harenberger Str.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0029;Harenberger Str.;H0030;Wunstdorfer Str.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0030;Wunstdorfer Str.;H0031;Ungerstr.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0031;Ungerstr.;H0032;Leinaustr.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0032;Leinaustr.;H0033;Am Küchengarten;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0033;Am Küchengarten;H0034;Glocksee / Bhf.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0034;Glocksee / Bhf.;H0035;Goetheplatz;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0025;Humboldtstr.;H0035;Goetheplatz;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0035;Goetheplatz;H0036;Steintor;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0036;Steintor;H0037;Hbf. / Rosenstr.;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0037;Hbf. / Rosenstr.;H0038;Hbf. / ZOB;10;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0035;Goetheplatz;H0036;Steintor;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0036;Steintor;H0037;Hbf. / Rosenstr.;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0037;Hbf. / Rosenstr.;H0038;Hbf. / ZOB;17;green;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0012;Waterloo;H0039;Markthalle / Landtag;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0012;Waterloo;H0039;Markthalle / Landtag;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0012;Waterloo;H0039;Markthalle / Landtag;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0039;Markthalle / Landtag;H0040;Kröpcke;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0039;Markthalle / Landtag;H0040;Kröpcke;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0039;Markthalle / Landtag;H0040;Kröpcke;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0040;Kröpcke;H0196;Hauptbahnhof;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0040;Kröpcke;H0196;Hauptbahnhof;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0040;Kröpcke;H0196;Hauptbahnhof;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0196;Hauptbahnhof;H0041;Sedanstr. / Lister Meile;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0196;Hauptbahnhof;H0041;Sedanstr. / Lister Meile;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0196;Hauptbahnhof;H0041;Sedanstr. / Lister Meile;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0041;Sedanstr. / Lister Meile;H0042;Lister Platz;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0041;Sedanstr. / Lister Meile;H0042;Lister Platz;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0041;Sedanstr. / Lister Meile;H0042;Lister Platz;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0042;Lister Platz;H0043;Lortzingstr.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0042;Lister Platz;H0043;Lortzingstr.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0042;Lister Platz;H0043;Lortzingstr.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0043;Lortzingstr.;H0044;Vier Grenzen;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0043;Lortzingstr.;H0044;Vier Grenzen;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0043;Lortzingstr.;H0044;Vier Grenzen;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0044;Vier Grenzen;H0045;Pelikanstr.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0044;Vier Grenzen;H0045;Pelikanstr.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0044;Vier Grenzen;H0045;Pelikanstr.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0045;Pelikanstr.;H0046;Spannhagengarten;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0045;Pelikanstr.;H0046;Spannhagengarten;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0045;Pelikanstr.;H0046;Spannhagengarten;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0046;Spannhagengarten;H0047;Klingerstr.;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0046;Spannhagengarten;H0047;Klingerstr.;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0046;Spannhagengarten;H0047;Klingerstr.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0047;Klingerstr.;H0048;Noltemeyerbrücke;3;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0047;Klingerstr.;H0048;Noltemeyerbrücke;7;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0047;Klingerstr.;H0048;Noltemeyerbrücke;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
H0048;Noltemeyerbrücke;H0050;Buchholz / Bhf.;9;blue;Hannover;Tram;1;bidirektional;internal;NA;pre 2020-11-30
