"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel"
"HH0001";"HH0002";1;"Hamburg";0,000569305447354228;1;154;1;0,012987012987013
"HH0002";"HH0003";1;"Hamburg";0,00170042548091329;1;154;2;0,025974025974026
"HH0003";"HH0004";1;"Hamburg";0,00281656379217355;1;154;3;0,038961038961039
"HH0004";"HH0005";1;"Hamburg";0,00391772038113502;1;154;4;0,051948051948052
"HH0005";"HH0006";1;"Hamburg";0,00500389524779769;1;154;5;0,0649350649350649
"HH0006";"HH0007";1;"Hamburg";0,00607508839216156;1;154;6;0,0779220779220779
"HH0007";"HH0008";1;"Hamburg";0,00713129981422664;1;154;7;0,0909090909090909
"HH0008";"HH0009";1;"Hamburg";0,00817252951399293;1;154;8;0,103896103896104
"HH0009";"HH0010";1;"Hamburg";0,00919877749146042;1;154;9;0,116883116883117
"HH0010";"HH0011";1;"Hamburg";0,0102100437466291;1;154;10;0,12987012987013
"HH0011";"HH0012";1;"Hamburg";0,011206328279499;1;154;11;0,142857142857143
"HH0012";"HH0013";2;"Hamburg";0,0121876310900701;1;154;12;0,155844155844156
"HH0013";"HH0014";2;"Hamburg";0,0131539521783424;1;154;13;0,168831168831169
"HH0014";"HH0015";2;"Hamburg";0,0141052915443159;1;154;14;0,181818181818182
"HH0015";"HH0016";2;"Hamburg";0,0150416491879907;1;154;15;0,194805194805195
"HH0016";"HH0017";2;"Hamburg";0,0242371182157767;1;154;16;0,207792207792208
"HH0017";"HH0018";2;"Hamburg";0,0234304773176724;0;154;0;0
"HH0017";"HH0038";2;"Hamburg";0,0251200410499191;0;154;0;0
"HH0017";"HH0041";1;"Hamburg";0,0362232451409281;0;154;0;0
"HH0018";"HH0019";2;"Hamburg";0,00876973841912866;0;154;0;0
"HH0018";"HH0055";2;"Hamburg";0,00857709843990332;0;154;0;0
"HH0018";"HH0129";1;"Hamburg";0,00722943009528375;0;154;0;0
"HH0019";"HH0020";2;"Hamburg";0,00383856694832305;0;154;0;0
"HH0020";"HH0021";2;"Hamburg";0,00279945965921576;0;154;0;0
"HH0020";"HH0100";1;"Hamburg";0,00244245770160405;0;154;0;0
"HH0021";"HH0022";2;"Hamburg";0,00144405075807515;0;154;0;0
"HH0022";"HH0023";2;"Hamburg";0,00606054363676315;0;154;0;0
"HH0023";"HH0024";1;"Hamburg";0,00974542308383772;0;154;0;0
"HH0023";"HH0029";1;"Hamburg";0,00974542308383772;1;154;9;0,116883116883117
"HH0024";"HH0025";2;"Hamburg";0,00817252951399293;1;154;8;0,103896103896104
"HH0025";"HH0026";2;"Hamburg";0,00713129981422664;1;154;7;0,0909090909090909
"HH0026";"HH0027";2;"Hamburg";0,00607508839216156;1;154;6;0,0779220779220779
"HH0027";"HH0028";2;"Hamburg";0,00500389524779769;1;154;5;0,0649350649350649
"HH0028";"HH0154";1;"Hamburg";0,00391772038113502;1;154;4;0,051948051948052
"HH0029";"HH0030";1;"Hamburg";0,00817252951399293;1;154;8;0,103896103896104
"HH0030";"HH0031";1;"Hamburg";0,00713129981422664;1;154;7;0,0909090909090909
"HH0031";"HH0032";1;"Hamburg";0,00607508839216156;1;154;6;0,0779220779220779
"HH0032";"HH0033";1;"Hamburg";0,00500389524779769;1;154;5;0,0649350649350649
"HH0033";"HH0034";1;"Hamburg";0,00391772038113501;1;154;4;0,051948051948052
"HH0034";"HH0035";1;"Hamburg";0,00281656379217355;1;154;3;0,038961038961039
"HH0035";"HH0036";1;"Hamburg";0,00170042548091329;1;154;2;0,025974025974026
"HH0036";"HH0037";1;"Hamburg";0,000569305447354228;1;154;1;0,012987012987013
"HH0038";"HH0039";2;"Hamburg";0,0218232506342262;0;154;0;0
"HH0039";"HH0040";2;"Hamburg";0,0223265740796229;0;154;0;0
"HH0039";"HH0098";1;"Hamburg";0,0137351805796928;0;154;0;0
"HH0040";"HH0023";1;"Hamburg";0,0145400111863527;0;154;0;0
"HH0040";"HH0024";1;"Hamburg";0,0134839870358163;0;154;0;0
"HH0041";"HH0042";1;"Hamburg";0,0245932462395877;1;154;10;0,12987012987013
"HH0041";"HH0056";2;"Hamburg";0,0240838676814287;1;154;9;0,116883116883117
"HH0041";"HH0105";1;"Hamburg";0,0230518142865704;0;154;0;0
"HH0042";"HH0043";1;"Hamburg";0,00919877749146042;1;154;9;0,116883116883117
"HH0043";"HH0044";1;"Hamburg";0,00817252951399293;1;154;8;0,103896103896104
