"ID.Source";"ID.Target";"Weight";"City";"bCO";"c.rise";"c1.size";"c2.size";"cut.offRel";"weightedCutOff"
"M0001";"M0002";1;"München";0,00020322376499786;1;379;1;0,00527704485488127;1,07242092347156e-06
"M0002";"M0003";1;"München";0,00060859318483444;1;379;2;0,0105540897097625;6,42314706949277e-06
"M0003";"M0004";1;"München";0,00101180638435274;1;379;3;0,0158311345646438;1,60180430240539e-05
"M0004";"M0005";1;"München";0,00141286336355276;1;379;4;0,0211081794195251;2,98229733731453e-05
"M0005";"M0006";1;"München";0,0018117641224345;1;379;5;0,0263852242744063;4,78038027027573e-05
"M0006";"M0007";1;"München";0,00220850866099796;1;379;6;0,0316622691292876;6,99263955988801e-05
"M0007";"M0008";1;"München";0,00260309697924314;1;379;7;0,0369393139841689;9,6156616647504e-05
"M0008";"M0009";1;"München";0,00299552907717005;1;379;8;0,0422163588390501;0,000126460330434619
"M0009";"M0010";1;"München";0,00338580495477867;1;379;9;0,0474934036939314;0,000160803401546216
"M0010";"M0011";1;"München";0,0104991797518553;1;379;10;0,0527704485488127;0,000554046424900016
"M0011";"M0042";4;"München";0,0087089778326036;1;379;1;0,00527704485488127;4,59576666628158e-05
"M0011";"M0043";1;"München";0,00967865204530864;0;379;0;0;0
"M0011";"M0068";4;"München";0,0218268203625176;0;379;0;0;0
"M0012";"M0013";1;"München";0,00020322376499786;1;379;1;0,00527704485488127;1,07242092347156e-06
"M0013";"M0014";1;"München";0,00060859318483444;1;379;2;0,0105540897097625;6,42314706949277e-06
"M0014";"M0015";1;"München";0,00101180638435274;1;379;3;0,0158311345646438;1,60180430240539e-05
"M0015";"M0016";1;"München";0,00141286336355276;1;379;4;0,0211081794195251;2,98229733731453e-05
"M0016";"M0017";1;"München";0,0018117641224345;1;379;5;0,0263852242744063;4,78038027027573e-05
"M0017";"M0018";1;"München";0,00220850866099796;1;379;6;0,0316622691292876;6,99263955988801e-05
"M0018";"M0019";1;"München";0,00260309697924314;1;379;7;0,0369393139841689;9,6156616647504e-05
"M0019";"M0020";1;"München";0,00299552907717005;1;379;8;0,0422163588390501;0,000126460330434619
"M0020";"M0021";1;"München";0,00338580495477867;1;379;9;0,0474934036939314;0,000160803401546216
"M0021";"M0022";1;"München";0,00570374179692933;1;379;10;0,0527704485488127;0,000300989013030571
"M0022";"M0011";2;"München";0,0126225177102812;1;379;21;0,110817941952507;0,00139880143491243
"M0023";"M0024";1;"München";0,00020322376499786;1;379;1;0,00527704485488127;1,07242092347156e-06
"M0024";"M0025";1;"München";0,00060859318483444;1;379;2;0,0105540897097625;6,42314706949277e-06
"M0025";"M0026";1;"München";0,00101180638435274;1;379;3;0,0158311345646438;1,60180430240539e-05
"M0026";"M0027";1;"München";0,00141286336355276;1;379;4;0,0211081794195251;2,98229733731453e-05
